episodio,recompensa,sucesso,epsilon
0,-8881.062828776434,0,0.995
1,-4287.2613662462945,1,0.990025
2,-7595.599354798788,0,0.985074875
3,-7310.97539772329,0,0.9801495006250001
4,-481.51471862576136,1,0.9752487531218751
5,-5845.197561066291,1,0.9703725093562657
6,-10334.78709042484,0,0.9655206468094844
7,-11100.07680962081,0,0.960693043575437
8,-11090.89157417542,0,0.9558895783575597
9,-7987.905809895738,0,0.9511101304657719
10,-10727.999840052098,0,0.946354579813443
11,-4979.014288630929,1,0.9416228069143757
12,-7938.713726236271,0,0.9369146928798039
13,-2433.9231903791897,1,0.9322301194154049
14,-3983.7509690068055,1,0.9275689688183278
15,-3917.9444872453596,1,0.9229311239742362
16,-8279.639320224998,1,0.918316468354365
17,-9464.897961271176,0,0.9137248860125932
18,-10977.65495096926,0,0.9091562615825302
19,-10128.395326334186,0,0.9046104802746175
20,-4838.706234591222,1,0.9000874278732445
21,-8423.898734252436,0,0.8955869907338783
22,-11930.0,0,0.8911090557802088
23,-1003.9444872453598,1,0.8866535105013078
24,-9908.968483680295,0,0.8822202429488013
25,-415.3643578734475,1,0.8778091417340573
26,-3329.0715016068525,1,0.8734200960253871
27,344.770329614269,1,0.8690529955452602
28,-9247.52923187666,0,0.8647077305675338
29,-9366.63984719974,0,0.8603841919146962
30,-470.63691661546113,1,0.8560822709551227
31,43.4400902933387,1,0.851801859600347
32,-10102.244970891272,0,0.8475428503023453
33,-10133.758918244199,0,0.8433051360508336
34,-11104.864222661774,0,0.8390886103705794
35,-2399.6039219456297,1,0.8348931673187264
36,-11685.059928172286,0,0.8307187014821328
37,-746.0000000000002,1,0.8265651079747222
38,153.0880074906351,1,0.8224322824348486
39,-10480.153013156214,0,0.8183201210226743
40,156.00000000000006,1,0.8142285204175609
41,-9594.487806416788,0,0.810157377815473
42,-12360.57939613155,0,0.8061065909263957
43,-75.5075774975295,1,0.8020760579717637
44,-11382.03702381585,0,0.798065677681905
45,-11264.850422775931,0,0.7940753492934954
46,410.94427190999915,1,0.7901049725470279
47,228.14213562373095,1,0.7861544476842928
48,-894.5599097066615,1,0.7822236754458713
49,-5865.82398501873,1,0.778312557068642
50,-537.3643578734475,1,0.7744209942832988
51,-3470.0,1,0.7705488893118823
52,-10505.014288630928,0,0.7666961448653229
53,274.16552506059645,1,0.7628626641409962
54,-11571.98667728597,0,0.7590483508202912
55,-2351.0927519058523,1,0.7552531090661897
56,-11860.164655229093,0,0.7514768435208588
57,-3736.9400718277175,1,0.7477194593032545
58,456.2462112512353,1,0.7439808620067382
59,-871.9999999999995,1,0.7402609576967045
60,-9388.759001296372,0,0.736559652908221
61,-8498.740113840477,0,0.7328768546436799
62,-3650.636916615462,1,0.7292124703704616
63,-11143.637416902242,0,0.7255664080186093
64,500,1,0.7219385759785162
65,-10539.511419034528,0,0.7183288830986236
66,-11585.337255095694,0,0.7147372386831305
67,116.3310501211929,1,0.7111635524897149
68,-3458.940071827716,1,0.7076077347272662
69,-299.7509690068059,1,0.7040696960536299
70,-971.5868887685328,1,0.7005493475733617
71,414.1980390271856,1,0.697046600835495
72,-6493.668949878806,1,0.6935613678313175
73,-5126.6568638049785,1,0.6900935609921609
74,-9588.736336997248,0,0.6866430931872001
75,260.0,1,0.6832098777212641
76,-561.7655144627527,1,0.6797938283326578
