episodio,recompensa,sucesso,epsilon
0,-3901.898453945506,0,1.0
1,-2228.902277713533,0,1.0
2,-2808.0788655293177,0,1.0
3,-3469.9176737480184,0,1.0
4,-4445.21718267214,0,1.0
5,-3739.506849316838,0,1.0
6,-3392.169721323975,0,1.0
7,-4851.8699893683515,0,1.0
8,-4389.0264564411755,0,1.0
9,-3979.214939326905,0,1.0
10,-4339.88642227227,0,1.0
11,-2647.928932188131,0,1.0
12,1000,1,1.0
13,-2249.034292993385,0,1.0
14,-3782.0200955559008,0,1.0
15,-4978.659624019318,0,1.0
16,-4316.954077905465,0,1.0
17,-2932.0407807822526,0,1.0
18,-4701.249496443806,0,1.0
19,-1043.2446609406725,1,1.0
20,-3354.0945481215604,0,1.0
21,868.7,1,1.0
22,-5303.823079691646,0,1.0
23,-4799.336270247888,0,1.0
24,-3740.5906930063916,0,1.0
25,-4241.864323480742,0,1.0
26,-3775.5249478655046,0,1.0
27,-3565.261693215081,0,1.0
28,-3232.7200187265876,0,1.0
29,-3597.6694667703373,0,1.0
30,-3138.266510184497,0,1.0
31,-3728.981983444124,0,1.0
32,-3700.2757085088797,0,1.0
33,-3644.569446569038,0,1.0
34,-3464.5746063524266,0,1.0
35,-3849.4622199472446,0,1.0
36,-4581.449562286777,0,1.0
37,-4685.868161573394,0,1.0
38,-4150.246854882555,0,1.0
39,982.02775637732,1,1.0
40,-3618.1926955882113,0,1.0
41,-3086.16473976594,0,1.0
42,-2892.8258852480308,0,1.0
43,-2443.8765034882545,0,1.0
44,869.8,1,1.0
45,-3661.0270051622624,0,1.0
46,541.3155281280881,1,1.0
47,-4576.686895943659,0,1.0
48,-2980.223008299665,0,1.0
49,-5665.419665938579,0,1.0
50,781.2,1,1.0
51,-4398.24639969597,0,1.0
52,-4402.1824804767275,0,1.0
53,728.2950975679639,1,1.0
54,-4200.002673920674,0,1.0
55,-5674.5752828280665,0,1.0
56,771.0553390593275,1,1.0
57,-2951.8296868952034,0,1.0
58,855.560679774998,1,1.0
59,-1155.2211344706816,1,1.0
60,-3277.299662406279,0,1.0
61,-3983.185926717739,0,1.0
62,-5439.387441218217,0,1.0
63,-4727.162057490434,0,1.0
64,-3083.8600385438285,0,1.0
65,-3509.9346366517702,0,1.0
66,582.2419413859202,1,1.0
67,-2173.5410196624966,0,1.0
68,-1811.6769151693327,0,1.0
69,-4579.3476786681085,0,1.0
70,-6116.004251170245,0,1.0
71,-3020.9465819540915,0,1.0
72,-4240.663729752106,0,1.0
73,-59.80490243203599,1,1.0
74,-3586.7831281441645,0,1.0
75,-5233.51470729611,0,1.0
76,-3106.8334617360783,0,1.0
77,-3954.732761576339,0,1.0
78,-2139.881019791856,0,1.0
79,-3958.3025174865315,0,1.0
80,-4792.134899163664,0,1.0
81,-5863.019917114204,0,1.0
82,-3398.977817883244,0,1.0
83,-3339.8433848409304,0,1.0
84,-4311.192436601393,0,1.0
85,-2391.169064305672,0,1.0
86,-4455.94305849579,0,1.0
87,471.46603957913896,1,1.0
88,-4915.648535068583,0,1.0
89,-3609.2149393269056,0,1.0
90,-3178.076118445745,0,1.0
91,-4652.210875404856,0,1.0
92,-4644.999999999995,0,1.0
93,-4491.537232882736,0,1.0
94,-4352.603901792876,0,1.0
95,-3539.043544979439,0,1.0
96,-4695.985319578426,0,1.0
97,-2775.978742078321,0,1.0
98,-3725.0406707646143,0,1.0
99,-4123.333046768532,0,1.0
100,-3400.41381265149,0,1.0
101,-3221.313382508159,0,0.995
102,-4161.100640094339,0,0.990025
103,1.6155281280880445,1,0.985074875
104,-4051.1631140086283,0,0.9801495006250001
105,-4435.157663362488,0,0.9752487531218751
106,-3730.7774721070086,0,0.9703725093562657
107,-4304.935055792203,0,0.9655206468094844
108,-4070.607436719684,0,0.960693043575437
109,642.3,1,0.9558895783575597
110,-4263.100982209322,0,0.9511101304657719
111,-4515.6726064142385,0,0.946354579813443
112,-2839.886422272271,0,0.9416228069143757
113,-1707.7207793864195,0,0.9369146928798039
114,1004.6606797749979,1,0.9322301194154049
115,-3129.574427720361,0,0.9275689688183278
116,-4037.567614411399,0,0.9229311239742362
117,899.0647321898296,1,0.918316468354365
118,-3634.507596456996,0,0.9137248860125932
119,-3900.9487516204654,0,0.9091562615825302
120,-3902.553401239914,0,0.9046104802746175
121,-3298.096063134598,0,0.9000874278732445
122,-2864.7230743093105,0,0.8955869907338783
123,-3933.895602103209,0,0.8911090557802088
124,-3126.565616950354,0,0.8866535105013078
125,-3947.35498733162,0,0.8822202429488013
126,-3406.0050506338807,0,0.8778091417340573
127,-3116.430638596341,0,0.8734200960253871
128,980.0950975679639,1,0.8690529955452602
129,580.7,1,0.8647077305675338
130,-2988.686617491841,0,0.8603841919146962
131,-2983.381081962832,0,0.8560822709551227
132,-3565.1920240520235,0,0.851801859600347
133,-3075.002673920673,0,0.8475428503023453
134,-2810.893996192066,0,0.8433051360508336
135,-3438.4915814011283,0,0.8390886103705794
136,898.8000000000001,1,0.8348931673187264
137,724.3769256906871,1,0.8307187014821328
138,-4840.039433792132,0,0.8265651079747222
139,653.6344135219424,1,0.8224322824348486
140,-3305.6924080926983,0,0.8183201210226743
141,-2190.742268941363,1,0.8142285204175609
142,-2969.7786102221726,0,0.810157377815473
143,573.4,1,0.8061065909263957
144,-4740.6601886794315,0,0.8020760579717637
145,-3389.00980486407,0,0.798065677681905
146,-4417.764427440222,0,0.7940753492934954
147,306.9225774829855,1,0.7901049725470279
148,224.06221994724876,1,0.7861544476842928
149,-4392.42904054405,0,0.7822236754458713
150,-4015.5452898244976,0,0.778312557068642
151,304.26832980505117,1,0.7744209942832988
152,945.1138126514911,1,0.7705488893118823
153,221.67692030835667,1,0.7666961448653229
154,-3627.423026937078,0,0.7628626641409962
155,-5230.624773746809,0,0.7590483508202912
156,-3611.950551372787,0,0.7552531090661897
157,-3549.7479114793427,0,0.7514768435208588
158,-4047.343132304206,0,0.7477194593032545
159,971.2,1,0.7439808620067382
160,996.7,1,0.7402609576967045
161,-7.913786156881656,1,0.736559652908221
162,-2861.29237453271,0,0.7328768546436799
163,-3854.9999999999945,0,0.7292124703704616
164,-4368.102496759062,0,0.7255664080186093
165,-178.41089468361793,1,0.7219385759785162
166,-4751.660282127836,0,0.7183288830986236
167,-2660.504078779343,0,0.7147372386831305
168,829.9000000000001,1,0.7111635524897149
169,1023.0,1,0.7076077347272662
170,-23.400000000001,1,0.7040696960536299
171,444.9015325445529,1,0.7005493475733617
172,960.5553390593274,1,0.697046600835495
173,429.74147114027903,1,0.6935613678313175
174,-4734.880223510686,0,0.6900935609921609
175,-3679.392541134068,0,0.6866430931872001
176,115.28326913195917,1,0.6832098777212641
177,-4653.715470968951,0,0.6797938283326578
178,-4432.680609869587,0,0.6763948591909945
179,-4332.784229118677,0,0.6730128848950395
180,937.5,1,0.6696478204705644
181,728.4000000000001,1,0.6662995813682115
182,-5152.79976196563,0,0.6629680834613705
183,-2504.154759474224,0,0.6596532430440636
184,-953.5847701320283,1,0.6563549768288433
185,388.068329805051,1,0.653073201944699
186,-4993.69741264073,0,0.6498078359349755
187,960.5106781186547,1,0.6465587967553006
188,-4283.303738270789,0,0.6433260027715241
189,-4923.13850306872,0,0.6401093727576664
190,986.4421356237309,1,0.6369088258938781
191,983.6,1,0.6337242817644086
192,1003.62775637732,1,0.6305556603555866
193,98.76603957913983,1,0.6274028820538087
194,962.6410196624969,1,0.6242658676435396
195,-5165.765110019533,0,0.6211445383053219
196,862.4112887414927,1,0.6180388156137953
197,969.946584384265,1,0.6149486215357263
198,-5458.521849295074,0,0.6118738784280476
199,-2307.0556128588887,0,0.6088145090359074
200,838.0553390593275,1,0.6057704364907278
201,-4406.091808064762,0,0.6027415843082742
202,747.5660395791399,1,0.5997278763867329
203,846.1623792124926,1,0.5967292370047992
204,-5835.000000000006,0,0.5937455908197752
205,1000,1,0.5907768628656763
206,-3830.183179174949,0,0.5878229785513479
207,-4245.092559539626,0,0.5848838636585911
208,1011.9,1,0.5819594443402982
209,-2736.2920271060393,1,0.5790496471185967
210,421.05773105863875,1,0.5761543988830038
211,889.9660395791398,1,0.5732736268885887
212,829.7414711402798,1,0.5704072587541458
213,854.3002257333468,1,0.567555222460375
214,-4514.460155946298,0,0.5647174463480732
215,985.9,1,0.5618938591163328
216,929.476925690687,1,0.5590843898207511
217,926.5999999999999,1,0.5562889678716474
218,998.4,1,0.5535075230322891
219,-5718.944487245362,0,0.5507399854171277
220,739.3133825081602,1,0.547986285490042
221,948.6303437365925,1,0.5452463540625918
222,951.9152298679728,1,0.5425201222922789
223,-4414.540337406946,0,0.5398075216808175
224,-5259.853068170365,0,0.5371084840724134
225,1011.5005494464026,1,0.5344229416520513
226,-2619.4503361958477,0,0.531750826943791
227,904.5000000000001,1,0.5290920728090721
228,1021.556097709407,1,0.5264466124450268
229,921.7769203083567,1,0.5238143793828016
230,1002.8,1,0.5211953074858876
231,1002.5113883008419,1,0.5185893309484582
232,-2836.342663219126,0,0.5159963842937159
233,885.5241153011671,1,0.5134164023722473
234,586.96603957914,1,0.510849320360386
235,-4484.395711510193,0,0.5082950737585841
236,960.0106781186547,1,0.5057535983897912
237,-4768.729348975851,0,0.5032248303978422
238,883.7,1,0.500708706245853
239,985.7,1,0.4982051627146237
240,-4159.422169659135,0,0.49571413690105054
241,850.721245982865,1,0.4932355662165453
242,732.9664818918645,1,0.4907693883854626
243,-5911.1359062656065,0,0.4883155414435353
244,338.14693182963197,1,0.4858739637363176
245,-4840.666843057422,0,0.483444593917636
246,-607.9049024320357,1,0.4810273709480478
247,-5595.6034154068875,0,0.47862223409330756
248,697.9537451385997,1,0.47622912292284103
249,945.1087712549569,1,0.4738479773082268
250,-3914.769257131578,0,0.47147873742168567
251,-5102.565835097477,0,0.46912134373457726
252,688.1248658727138,1,0.46677573701590436
253,991.5637297521077,1,0.46444185833082485
254,972.6547594742265,1,0.46211964903917074
255,189.40423721205946,1,0.4598090507939749
256,1030.2232526704263,1,0.457510005540005
257,-5280.493807583804,0,0.45522245551230495
258,1022.9824391947379,1,0.4529463432347434
259,960.8974746830584,1,0.4506816115185697
260,1004.5,1,0.4484282034609769
261,420.31338250816043,1,0.446186062443672
262,959.3817459305202,1,0.4439551321314536
263,985.7155281280883,1,0.4417353564707963
264,-4414.404378365127,0,0.43952667968844233
265,590.4387818865996,1,0.43732904629000013
266,1001.7087712549569,1,0.4351424010585501
267,997.9891053163818,1,0.43296668905325736
268,923.3920240520265,1,0.43080185560799106
269,974.407708461347,1,0.4286478463299511
270,558.454552767919,1,0.42650460709830135
271,973.7258240356725,1,0.42437208406280985
272,1023.3642784226795,1,0.4222502236424958
273,-4775.973586742171,0,0.42013897252428334
274,1002.5113883008419,1,0.4180382776616619
275,551.562219947249,1,0.4159480862733536
276,987.4327780786685,1,0.41386834584198684
277,946.8087712549569,1,0.4117990041127769
278,1022.5920240520265,1,0.40974000909221303
279,925.5832691319599,1,0.40769130904675194
280,290.37249200050087,1,0.40565285250151817
281,-3835.28341511454,1,0.4036245882390106
282,911.7116263352132,1,0.4016064652978155
283,933.7165848854662,1,0.3995984329713264
284,-5212.61252650935,0,0.3976004408064698
285,886.0683298050515,1,0.39561243860243744
286,981.2977222864645,1,0.3936343764094253
287,992.8133825081603,1,0.39166620452737816
288,-3934.250603837246,0,0.3897078735047413
289,993.9,1,0.3877593341372176
290,780.2016994374947,1,0.3858205374665315
291,1028.178344238091,1,0.38389143477919885
292,721.2920240520265,1,0.3819719776053028
293,1008.8387818865997,1,0.3800621177172763
294,996.6112887414928,1,0.37816180712868996
295,958.1623792124926,1,0.37627099809304654
296,995.043260233424,1,0.3743896431025813
297,978.0015325445528,1,0.37251769488706843
298,973.0,1,0.3706551064126331
299,970.9410196624968,1,0.36880183088056995
300,943.946931829632,1,0.3669578217261671
301,-289.0454472320812,1,0.36512303261753626
302,986.3,1,0.3632974174544486
303,991.3974746830584,1,0.3614809303671764
304,1022.6079728939615,1,0.3596735257153405
305,967.3,1,0.3578751580867638
306,991.7016994374948,1,0.35608578229633
307,-205.27382470071393,1,0.3543053533848483
308,579.1000000000001,1,0.35253382661792404
309,993.739811320566,1,0.3507711574848344
310,984.9660171779822,1,0.34901730169741024
311,1014.3414379544732,1,0.3472722151889232
312,79.0754878398194,1,0.3455358541129786
313,904.095097567964,1,0.3438081748424137
314,986.7,1,0.3420891339682016
315,1001.2977222864645,1,0.3403786882983606
316,503.96067977499797,1,0.3386767948568688
317,739.0469318296318,1,0.33698341088258443
318,-474.58477013202696,1,0.3352984938281715
319,998.9,1,0.33362200135903064
320,1023.1769256906871,1,0.33195389135223546
321,1000.7,1,0.3302941218954743
322,831.6398113205662,1,0.32864265128599696
323,1037.7242942258563,1,0.326999438029567
324,981.9060973342836,1,0.3253644408394192
325,1000.224115301167,1,0.3237376186352221
326,770.1419413859206,1,0.322118930542046
327,535.4623792124924,1,0.32050833588933575
328,-2333.2953272048358,1,0.31890579420988907
329,1001.0112887414928,1,0.3173112652388396
330,1040.1633520177595,1,0.3157247089126454
331,982.547166206396,1,0.3141460853680822
332,983.8553390593273,1,0.3125753549412418
333,1030.5016994374948,1,0.31101247816653554
334,996.2053761886914,1,0.30945741577570285
335,917.5891053163818,1,0.3079101286968243
336,994.9156211871642,1,0.3063705780533402
337,146.66603957913935,1,0.30483872516307353
338,882.8537451385998,1,0.3033145315372582
339,-4999.634467992488,0,0.3017979588795719
340,1018.0,1,0.30028896908517405
341,1023.7769203083567,1,0.2987875242397482
342,544.2578404875462,1,0.29729358661854943
343,960.7002257333468,1,0.29580711868545667
344,974.8165848854662,1,0.2943280830920294
345,973.7,1,0.29285644267656924
346,973.9138126514911,1,0.2913921604631864
347,-5398.9341627297745,0,0.28993519966087045
348,997.8555127546399,1,0.2884855236625661
349,1036.6189802081433,1,0.28704309604425327
350,977.7949493661166,1,0.285607880564032
351,545.941437954473,1,0.28417984116121187
352,954.4,1,0.2827589419554058
353,-935.0893218813421,1,0.28134514724562876
354,910.2016994374948,1,0.2799384215094006
355,-186.0334617360793,1,0.27853872940185365
356,578.2387818865997,1,0.27714603575484437
357,644.5344135219423,1,0.2757603055760701
358,332.2189802081431,1,0.2743815040481898
359,278.6212459828647,1,0.2730095965279488
360,1023.0862138431185,1,0.27164454854530906
361,592.7208734812999,1,0.2702863258025825
362,1020.7,1,0.2689348941735696
363,1014.7410196624968,1,0.26759021970270175
364,1002.52775637732,1,0.2662522686041882
365,966.0493781056044,1,0.2649210072611673
366,-6369.790753664006,0,0.26359640222486147
367,947.1647267862343,1,0.26227842021373715
368,695.8106781186546,1,0.2609670281126685
369,772.8000000000001,1,0.25966219297210513
370,-666.0922915386516,1,0.2583638820072446
371,987.6832691319598,1,0.2570720625972084
372,-108.49890110719502,1,0.25578670228422234
373,41.24693182963199,1,0.25450776877280124
374,-70.42451216018117,1,0.2532352299289372
375,1011.6133825081604,1,0.2519690537792925
376,773.795444572929,1,0.2507092085103961
377,1036.9,1,0.2494556624678441
378,1037.462523283024,1,0.24820838415550486
379,988.9,1,0.24696734223472733
380,570.449820430708,1,0.2457325055235537
381,975.2974746830583,1,0.24450384299593592
382,970.8683298050514,1,0.24328132378095624
383,283.2545527679189,1,0.24206491716205145
384,618.851648071345,1,0.2408545925762412
385,494.37747210701735,1,0.23965031961336
386,747.1563014098699,1,0.2384520680152932
387,1026.1820393249936,1,0.23725980767521673
388,1021.4832691319598,1,0.23607350863684065
389,895.8537451386,1,0.23489314109365644
390,1032.823881554251,1,0.23371867538818816
391,1043.2216876123687,1,0.23255008201124722
392,959.9832691319598,1,0.231387331601191
393,104.84147114027962,1,0.23023039494318503
394,996.4113883008418,1,0.2290792429684691
395,999.5002257333467,1,0.22793384675362674
396,1019.8234995535981,1,0.22679417751985861
397,1005.0087712549569,1,0.22566020663225933
398,1023.0954445729288,1,0.22453190559909803
399,1036.3,1,0.22340924607110255
400,1037.4862138431185,1,0.22229219984074702
401,1013.4891053163818,1,0.2211807388415433
402,987.1664818918646,1,0.22007483514733558
403,1017.8820393249937,1,0.2189744609715989
404,1008.2419413859207,1,0.2178795886667409
405,1033.317542509914,1,0.2167901907234072
406,1002.8,1,0.21570623976979014
407,1065.762523283024,1,0.21462770857094118
408,1045.9387818865998,1,0.21355457002808648
409,1037.4647267862342,1,0.21248679717794605
410,891.6471662063962,1,0.21142436319205632
411,1029.6,1,0.21036724137609603
412,-6407.645447232103,0,0.20931540516921554
413,863.4419413859207,1,0.20826882814336947
414,1012.3053761886914,1,0.20722748400265262
415,773.2175425099138,1,0.20619134658263935
416,726.4002257333468,1,0.20516038984972615
417,1026.7152298679728,1,0.2041345879004775
418,-815.5845853834176,1,0.2031139149609751
419,979.5087712549569,1,0.20209834538617025
420,1018.9002257333467,1,0.2010878536592394
421,1060.8,1,0.2000824143909432
422,1061.2754878398196,1,0.19908200231898848
423,1037.4681202353686,1,0.19808659230739353
424,1014.408771254957,1,0.19709615934585656
425,1029.2920240520266,1,0.19611067854912728
426,995.6,1,0.19513012515638165
427,967.2224690738243,1,0.19415447453059972
428,977.4,1,0.19318370215794672
429,1040.3769203083566,1,0.192217783647157
430,1028.7569415042094,1,0.1912566947289212
431,1005.8512483795332,1,0.1903004112552766
432,1022.2135777277261,1,0.18934890919900021
433,1002.491422643416,1,0.18840216465300522
434,1030.0053761886913,1,0.18746015382974018
435,1019.3569415042094,1,0.1865228530605915
436,1045.0024967590666,1,0.18559023879528855
437,1005.978344238091,1,0.1846622876013121
438,1014.1310562561766,1,0.18373897616330553
439,1017.6005494464026,1,0.182820281282489
440,1008.3261752992876,1,0.18190617987607657
441,999.2,1,0.18099664897669618
442,1001.2024967590665,1,0.1800916657318127
443,960.2,1,0.17919120740315364
444,1026.0073525436771,1,0.17829525136613786
445,1012.8977222864644,1,0.17740377510930716
446,1037.4344135219426,1,0.17651675623376062
447,644.9824391947377,1,0.1756341724525918
448,701.5974746830583,1,0.17475600159032884
449,1008.6410196624969,1,0.17388222158237718
450,1019.3112887414927,1,0.1730128104744653
451,942.3545527679195,1,0.17214774642209296
452,884.0016994374947,1,0.1712870076899825
453,999.8341649025257,1,0.17043057265153258
454,1056.9769203083567,1,0.16957841978827493
455,1030.9079728939614,1,0.16873052768933355
456,1039.6,1,0.1678868750508869
457,19.938781886600054,1,0.16704744067563246
458,960.7977222864645,1,0.1662122034722543
459,1026.2,1,0.16538114245489302
460,1026.2327780786686,1,0.16455423674261854
461,-108.1530681703689,1,0.16373146555890544
462,1024.7468635614928,1,0.16291280823111093
463,1022.0493781056044,1,0.16209824418995536
464,964.9225774829855,1,0.16128775296900558
465,1012.0788655293195,1,0.16048131420416054
466,1020.5016994374947,1,0.15967890763313974
467,1003.7788655293195,1,0.15888051309497406
468,-12.688611699157832,1,0.1580861105294992
469,1018.1341649025256,1,0.1572956799768517
470,-172.32451216018057,1,0.15650920157696743
471,417.32775637731993,1,0.1557266555690826
472,1021.4468635614927,1,0.1549480222912372
473,1024.8268050859363,1,0.15417328217978102
474,993.7710678118655,1,0.1534024157688821
475,983.9507290636733,1,0.1526354036900377
476,1023.3087712549569,1,0.1518722266715875
477,1054.913577727726,1,0.15111286553822956
478,1003.2569415042095,1,0.15035730121053842
479,1002.5113883008419,1,0.14960551470448571
480,-1295.1137861568782,1,0.14885748713096328
481,1025.5087712549569,1,0.14811319969530845
482,1005.4877987534292,1,0.1473726336968319
483,194.79999999999984,1,0.14663577052834775
484,929.2817459305203,1,0.14590259167570602
485,1041.6261752992875,1,0.1451730787173275
486,1032.7016994374947,1,0.14444721332374086
487,646.9002257333468,1,0.14372497725712216
